Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2010,Hyundai,I20 SPORTZ 1.2 O,2.85 Lakhs,Noida,"49,616 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,WAGON R 1.0 LXI CNG ...,4.15 Lakhs,Noida,"46,000 Kms",CNG  CNG Kit,Hatchback,1st Owner
2009,Maruti Suzuki,SWIFT DZIRE LXI,2.25 Lakhs,Gurgaon,"56,967 Kms",Petrol,Sedan,1st Owner
2010,Volkswagen,POLO HIGHLINE1.2L PE...,2.25 Lakhs,Gurgaon,"73,297 Kms",Petrol,Hatchback,1st Owner
2012,Skoda,SUPERB ELEGANCE 1.8 ...,3.95 Lakhs,Delhi,"60,000 Kms",Petrol,Sedan,1st Owner
2011,Hyundai,I10 SPORTZ 1.2 KAPPA...,2.85 Lakhs,Ghaziabad,"54,852 Kms",Petrol,Hatchback,1st Owner
2011,Maruti Suzuki,ALTO LXI CNG,1.2 Lakhs,Faridabad,"86,365 Kms",CNG  CNG Kit,Hatchback,3rd Owner
2008,Hyundai,I10 ERA,1.65 Lakhs,Delhi,"82,000 Kms",Petrol,Hatchback,1st Owner
2019,Toyota,ETIOS LIVA V,5 Lakhs,Faridabad,"26,008 Kms",Petrol,Hatchback,1st Owner
2011,Hyundai,SANTRO XING GLS,2.05 Lakhs,Faridabad,"81,334 Kms",Petrol,Hatchback,1st Owner
2013,Maruti Suzuki,RITZ VDI BS IV,2.9 Lakhs,Faridabad,"63,289 Kms",Diesel,Hatchback,2nd Owner
2007,Hyundai,SANTRO XING XE,1.2 Lakhs,Gurgaon,"88,000 Kms",Petrol,Hatchback,2nd Owner
2007,Chevrolet,AVEO U VA 1.2,1.05 Lakhs,Gurgaon,"59,107 Kms",Petrol,Hatchback,1st Owner
2011,Volkswagen,VENTO HIGHLINE PETRO...,3.8 Lakhs,Gurgaon,"89,339 Kms",Petrol,Sedan,1st Owner
2011,Chevrolet,BEAT LS PETROL,1.8 Lakhs,Gurgaon,"68,464 Kms",Petrol,Hatchback,1st Owner
2015,Renault,KWID RXT,2.5 Lakhs,Delhi,"60,000 Kms",Petrol,Hatchback,1st Owner
2011,Hyundai,SANTRO XING GL,1.85 Lakhs,Faridabad,"81,334 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,SWIFT DZIRE LXI O,4.7 Lakhs,Delhi,"49,953 Kms",Petrol,Sedan,1st Owner
